record_id,title,year,source,Final_decision,Final_reason_code,Final_notes,FullText_needed
R00075,Effects of Aerobic Exercise on Cardiorespiratory Fitness and Cardiovascular Risk Factors in Long-Term Breast Cancer Survivors A Randomized Controlled Trial,2025.0,Web of Science,DUDA,TA5,No se mencionan endpoints cardiacos/biomarcadores en T/A,SÍ
R00076,Development Project 2,2015.0,Web of Science,EXCLUIR,TA1,No parece cáncer de mama (según T/A),NO
R00077,Characterization of TRPC6 to predict and prevent chemotherapy-related heart failure,2022.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00078,Potential use of humanized antibodies in the treatment of breast cancer,2006.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00079,Protocol for pyrotinib cardiac safety in patients with HER2-positive early or locally advanced breast cancer-The EARLY-MYO-BC study,2023.0,Web of Science,INCLUIR,,Cumple criterios en T/A; pasar a texto completo,SÍ
R00080,Treatment Options for Breast Cancer Resistant to Anthracycline and Taxane,2009.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00081,A systematic review of dual targeting in HER2-positive breast cancer,2014.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00082,Chemotherapy in patients with early breast cancer: clinical overview and management of long-term side effects,2022.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00083,Electrocardiography Changes During Adjuvant Breast Cancer Therapy: Incidence and Risk Factors,2013.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00084,Protective effects of exercise on cardiotoxicity induced by breast cancer treatments: A systematic review and meta-analysis,2024.0,Web of Science,DUDA,TA3,No se menciona antraciclina/anti-HER2 en T/A,SÍ
R00085,Exercise Prevention of Cardiovascular Disease in Breast Cancer Survivors,2015.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00086,Efficacy of trastuzumab in unselected patients with HER2-positive metastatic breast cancer: a retrospective analysis,2014.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00088,Trastuzumab A Review of its Use as Adjuvant Treatment in Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Early Breast Cancer,2010.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00089,Optimal role of docetaxel in adjuvant chemotherapy for early stage HER2-negative breast cancer,2008.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00090,Class III β-tubulin isotype predicts response in advanced breast cancer patients randomly treated either with single-agent doxorubicin or docetaxel,2008.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00091,Lapatinib in breast cancer,2007.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00092,Role of trastuzumab in the adjuvant treatment of HER2-positive early breast cancer.,2009.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00093,Trastuzumab,2011.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00095,A phase 2 study of eribulin followed by doxorubicin and cyclophosphamide as preoperative therapy for HER2-negative inflammatory breast cancer,2017.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00096,A review of the efficacy and safety of docetaxel as monotherapy in metastatic breast cancer,1999.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00097,Cardio-oncology: protecting the heart from curative breast cancer treatment,2018.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00098,Late effects of breast cancer treatment and potentials for rehabilitation,2011.0,Web of Science,DUDA,TA4,No queda claro que sea ECA/RCT en T/A,SÍ
R00100,Lapatinib: A sword with two edges,2008.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
R00101,Doxorubicin cardiotoxicity and effectiveness in MCF-7 breast cancer cells could be mediated by polyprenol,2007.0,Web of Science,EXCLUIR,TA2,No parece intervención de ejercicio/entrenamiento (según T/A),NO
